WB Terminal Program Generator,,,,,Look-Up Tables,,,,,,,,,,,,,,
,"Previous version: ver.6, 12-Mar-15",,,Project:,PERTH: New International Pier (STEP) - Project Definition Update,,,,,,,,,,,,,,
RCS,"Thursday, 12 March 2015",,,,Ver. 7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SFO T1 Destinations,,,,,Version,Date,Detail,,,,,,,,,,,,
Code,Destination,,,,1,03-Mar-15,First Issue - flights added to schedule to achieve 2027 Busy Hour,,,,,,,,,,,,
AKL,Auckland,,,,2,09-Mar-15,Schedule restructured,,,,,,,,,,,,
ALH,Albany,,,,3,10-Mar-15,Gating exercise added,,,,,,,,,,,,
ANY,Anywhere,,,,4,11-Mar-15,New flights adjusted per CM email of 10/March/15.,,,,,,,,,,,,
AUH,Abu Dhabi,,,,5,12-Mar-15,"Final flight adjstments, load factor to 90%  & Code E boarding lengthened.",,,,,,,,,,,,
BKK,Bangkok,,,,6,12-Mar-15,"Mumbai flight reduced to B737-800, & seat nos adjusted, to match forecast Busy Hour.",,,,,,,,,,,,
BOM,Mumbai,,,,7,21-Jun-15,Workbook audited for release to PAPL,,,,,,,,,,,,
BYP,Barimunya,,,,8,26-Apr-16,Modifications for SFO Analysis,,,,,,,,,,,,
CAN,Guangzhou,,,,,,,,,,,,,,,,,,
CGK,Jakarta,,,,,,,,,,,,,,,,,,
CJF,Coondewanna,,,,,,,,,,,,,,,,,,
DCN,Derby-Curtin,,,,,,,,,,,,,,,,,,
DOH,Doha,,,,,,,,,,,,,,,,,,
DPS,Denpassar,,,,,,,,,,,,,,,,,,
DXB,Dubai,,,,,,,,,,,,,,,,,,
EJA,East Jaurdi,,,,,SFO T1 Airlines,,,,T1 International Boarding Zone Gate Allocation #1,,,,,,,,,
EPR,Esperance,,,,,Code,Airline,,,,,,,,,,,,
GET,Geraldton,,,,,AA,American Airlines,,,Stand,Phase 1,Phase 2,Ultimate,,,,,,
GNF,The Granites,,,,,AF,Air France,,,,,,,,,,,,
HKG,Hong Kong,,,,,AS,Alaska Airlines,,,154,A,A,A,,,,,,
HKT,Phuket,,,,,B6,JetBlue Airways,,,155,A,A,A,,,,,,
CGK,Jakarta Soekarno-Hatta,,,,,BA,British Airways,,,156,A,A,A,,,,,,
JNB,Johannesburg,,,,,DL,Delta Air Lines,,,157,B,B,B,,,,,,
KTA,Karratha,,,,,EK,Emirates,,,158,B,B,B,,,,,,
KUL,Kuala Lumpur,,,,,F9,Frontier Airlines,,,159,B,B,C,,,,,,
LER,Leinster,,,,,HA,Hawaiian Airlines,,,160,B,,C,,,,,,
MNL,Manila Ninoy Aquino,,,,,KL,KLM Royal Dutch Airlines,,,161,,,D,,,,,,
MRU,Mauritius,,,,,SY,MN Airlines,,,162,,D,D,,,,,,
NIF,Nifty,,,,,UA,United Airlines,,,163,,D,D,,,,,,
NRT,"Narita, Tokyo",,,,,WN,Southwest Airlines,,,164,E,E,E,,,,,,
OCM,Boolgeeda,,,,,,,,,165,E,E,E,,,,,,
OCM1,Boolgeeda via Busselton,,,,,,,,,166,F,F,F,,,,,,
ONS,Onslow,,,,,,,,,167,F,F,F,,,,,,
RVT,Ravensthorpe,,,,,,,,,,,,,,,,,,
SGN,Ho Chi Minh City,,,,,,,,,,,,,,,,,,
SIN,Singapore,,,,,,,,,,,,,,,,,,
TEF,Telfer,,,,,,,,,,,,,,,,,,
WLP,West Angelas,,,,,,,,,,,,,,,,,,
WLP1,West Angelas via Busselton,,,,,,,,,,,,,,,,,,
WME,Mt. Keith,,,,,,,,,,,,,,,,,,
WRN,Windarling,,,,,,,,,,,,,,,,,,
ZNE,Newman,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SFO T1 Aircraft,,SIZE,Full Service,Low Cost,Full Service Based on,Low Cost Based on,,,,,,,,,,,,,
Code,Aircraft,,Seats,Seats,,,Notes,,,,,,,,,,,,
319,Airbus A319,C,116,,,,ADDED (Jaggy),,,,,,,,,,,,
320,Airbus A320-100/200,C,140,180,,"JQ, QZ",,,,,,,,,,,,,
321,Airbus A321-100/200,C,149,180,,,ADDED (Jaggy),,,,,,,,,,,,
332,Airbus A330-200,E,245,300,CZ,,"CZ alt. 4-class @ 218, EH 254 & 262",,,,,,,,,,,,
333,Airbus A330-300,E,285,377,SQ,D7,"CX: 242, MH: 283 or 295, GA 257",,,,,,,,,,,,
351,Airbus A350-1000,E,366,440,,,ADDED (Jaggy) - starting mid 2017,,,,,,,,,,,,
380,Airbus A380 pax,F,489,,EK,,14 + 76 + 399,,,,,,,,,,,,
737,Boeing 737 all pax models,C,165,176,,VA,ADDED (Jaggy),,,,,,,,,,,,
738,Boeing 737-800 pax,C,168,176,,VA,8 + 168,,,,,,,,,,,,
739,Boeing 737-900 pax,C,180,204,,,12 + 168 per Boeing 737 Max Brochure,,,,,,,,,,,,
772,Boeing 777-200 pax,E,266,305,SQ,,"SQ latest, other layouts 288 & 323",,,,,,,,,,,,
773,Boeing 777-300 pax,E,266,305,EK,,ADDED (Jaggy),,,,,,,,,,,,
788,Boeing 787-800 pax,E,264,335,TG,,"24 + 240 (TG), 21 + 314 (JQ) Seat Guru",,,,,,,,,,,,
DH4,De Havilland Canada DHC-8-400 Dash 8Q,0,302,350,,NZ,ADDED (Jaggy),,,,,,,,,,,,
